time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volume_strength,volume_strength_ma,price_strength,price_strength_ma,price_volume_strength,price_volume_strength_ma
2025-08-05T09:12:00-05:00,3606.96,3612.7,3582.36,3585.1,1,3606.96,3612.7,3582.36,3585.1,10.284514169576042,9.590894546389507,-20.740318335174464,-20.728589344486082,-56.18906467286582,-55.83302886636483
2025-08-05T09:18:00-05:00,3585.58,3593.8,3571.87,3578.84,1,3585.58,3593.8,3571.87,3578.84,11.084137058701756,2.0056307490821155,-22.14146601376543,-25.869460884725346,-53.97910823771233,-64.48467921517927
2025-08-05T09:24:00-05:00,3578.84,3584.01,3568.62,3580.54,2,3578.84,3584.01,3568.62,3580.54,19.43003709121819,5.278734832144797,-21.510149048789472,-27.482267307854194,-45.41902928772586,-61.47297691892829
2025-08-05T09:30:00-05:00,3580.71,3584.17,3568.25,3574.97,1,3580.71,3584.17,3568.25,3574.97,22.672062075705917,10.28826410299812,-21.970663971404996,-28.0364599050618,-40.78699719461156,-55.41271128289845
2025-08-05T09:36:00-05:00,3575.06,3586.16,3566.49,3574.1,0,3575.06,3586.16,3566.49,3574.1,25.911242499908994,16.179579598956515,-21.474312817233248,-27.30805644476989,-36.039395227793015,-47.74156292440527
2025-08-05T09:42:00-05:00,3574.01,3576.69,3560.8,3576.4,3,3574.01,3576.69,3560.8,3576.4,35.63369468776281,27.05726466970478,-20.631697356397062,-25.729046732197176,-29.94624951399278,-38.506036733141386
2025-08-05T09:48:00-05:00,3575.93,3575.93,3558.59,3566.38,1,3575.93,3575.93,3558.59,3566.38,35.09601350911973,32.5288451067455,-22.431221654805555,-25.741067543573493,-30.0166641035231,-33.34095608004275
2025-08-05T09:54:00-05:00,3566.37,3580.03,3561.78,3577.49,0,3566.37,3580.03,3561.78,3577.49,43.303213279400886,41.51016088402466,-19.69271453626458,-23.287035112757074,-21.736734567426875,-24.354203571059944
2025-08-05T10:00:00-05:00,3577.48,3584.09,3569.65,3582.37,0,3577.48,3584.09,3569.65,3582.37,52.086906581547396,52.24246425353971,-18.02646010235815,-20.553168904217554,-14.952169071186296,-14.986110131689177
2025-08-05T10:06:00-05:00,3582.36,3597.51,3582.19,3586.95,1,3582.36,3597.51,3582.19,3586.95,58.60807422180585,61.868710471929276,-15.893580914297692,-17.446096742964084,-9.569190857343393,-6.746031011457584
2025-08-05T10:12:00-05:00,3586.72,3595.07,3586.55,3590.47,0,3586.72,3595.07,3586.55,3590.47,62.767835521103024,68.97371019062899,-14.585992176855926,-14.878536082441736,-6.210940782569071,-0.7880530155686047
2025-08-05T10:18:00-05:00,3590.26,3596.31,3575.07,3585.29,0,3590.26,3596.31,3575.07,3585.29,56.18202667539208,66.7999529764097,-16.35319183070971,-14.92119662343377,-9.675905097309657,-1.1163683050032147
2025-08-05T10:24:00-05:00,3585.22,3585.22,3563.94,3570.82,0,3585.22,3585.22,3563.94,3570.82,45.51037378144747,57.10643564329375,-20.001070074336695,-17.66082846065153,-15.984361640521826,-6.634528134294621
2025-08-05T10:30:00-05:00,3570.82,3576.44,3555.62,3556.3,0,3570.82,3576.44,3555.62,3556.3,36.21323308010108,44.86571598962064,-22.881107422982936,-21.159044923439144,-21.19571653724792,-13.824646617646401
2025-08-05T10:36:00-05:00,3556.72,3562.96,3555.99,3561.61,0,3556.72,3562.96,3555.99,3561.61,39.86917177163267,41.075623647253735,-21.49642303341414,-21.883318048716113,-16.809967745338856,-14.677250996768839
2025-08-05T10:42:00-05:00,3561.62,3565.97,3555.06,3556.71,1,3561.62,3565.97,3555.06,3556.71,39.33122444243185,38.536068988410825,-22.34025248436179,-22.859092875318105,-16.634713539828297,-15.401363967053484
2025-08-05T10:48:00-05:00,3556.89,3566.54,3555.7,3563.78,2,3556.89,3566.54,3555.7,3563.78,58.83747992383213,51.51425467349772,-20.86852136237281,-22.197791869306226,-5.240733573003875,-7.682994647868602
2025-08-05T10:54:00-05:00,3563.87,3572.31,3559.73,3569.44,0,3563.87,3572.31,3559.73,3569.44,68.78966765038518,64.98368856666855,-19.699594424668305,-20.951342136807078,2.4206939044616576,1.388257649328084
2025-08-05T11:00:00-05:00,3569.23,3586.49,3564.7,3582.87,0,3569.23,3586.49,3564.7,3582.87,81.59673650901405,80.70968289846634,-15.768533683791196,-17.4071231416313,17.768100147186146,16.684273605324215
2025-08-05T11:06:00-05:00,3582.87,3587.2,3575.08,3576.01,0,3582.87,3587.2,3575.08,3576.01,73.28618919126886,81.81597114594264,-17.764013016773035,-17.133049325558055,6.707681089358172,15.483680119078908
2025-08-05T11:12:00-05:00,3575.88,3588.89,3575.87,3582.48,0,3575.88,3588.89,3575.87,3582.48,71.33972371624589,80.35059130747194,-15.774875245353769,-15.54820453854041,10.360858089231897,17.0192911713893
2025-08-05T11:18:00-05:00,3582.21,3587.35,3577.31,3584.09,0,3582.21,3587.35,3577.31,3584.09,70.75303898065859,78.4486318277797,-14.840502926677315,-14.17359457958416,11.055154880808644,17.52357235690789
2025-08-05T11:24:00-05:00,3583.84,3588.75,3576.34,3585.58,0,3583.84,3588.75,3576.34,3585.58,71.9921619364778,77.6626432997369,-13.917196804889976,-12.942748454650946,11.955567657432084,17.689391867687835
2025-08-05T11:30:00-05:00,3585.57,3594.44,3583.6,3587.55,3,3585.57,3594.44,3583.6,3587.55,72.15382543567762,76.71330752345838,-12.643158794395436,-11.557066875172056,12.213160049423891,17.275118472079935
2025-08-05T11:36:00-05:00,3587.63,3590.41,3561.43,3566.86,0,3587.63,3590.41,3561.43,3566.86,48.91027812881178,58.7374771299788,-19.142443569415377,-15.796421658679733,-19.484592970320538,-6.650240811473676
2025-08-05T11:42:00-05:00,3566.56,3574.24,3564.57,3570.81,2,3566.56,3574.24,3564.57,3570.81,55.86950706552008,54.93517989088962,-18.162686275691307,-17.237521531825752,-15.512558883422962,-15.48423837123829
2025-08-05T11:48:00-05:00,3571.15,3586.35,3569.37,3584.24,0,3571.15,3586.35,3569.37,3584.24,65.9387449603174,60.339043161553235,-13.791605671510313,-14.849884541221117,1.57447140957958,-7.328326363061057
2025-08-05T11:54:00-05:00,3584.23,3586.08,3577.09,3577.28,0,3584.23,3586.08,3577.09,3577.28,66.51394433345983,63.4389263179064,-16.309504360013634,-15.617957087702067,-5.562338532768041,-8.453298459640788
2025-08-05T12:00:00-05:00,3577.27,3584.84,3575.98,3582.6,0,3577.27,3584.84,3575.98,3582.6,69.85824381839595,67.56030855519913,-14.52920262099021,-14.70938038228615,1.0383472553546085,-3.778988838403869
2025-08-05T12:06:00-05:00,3582.59,3586.16,3577.09,3583.74,1,3582.59,3586.16,3577.09,3583.74,70.76491974559303,70.32142161837494,-13.791774555688969,-13.773762526395057,3.213520225373294,0.35474570303480313
2025-08-05T12:12:00-05:00,3583.74,3590.1,3583.7,3588.53,4,3583.74,3590.1,3583.7,3588.53,78.63019283764956,77.4145404423999,-11.880439609611026,-11.969811371376293,11.250424037942038,8.424584444373812
2025-08-05T12:18:00-05:00,3588.54,3596.36,3587.79,3593.56,2,3588.54,3596.36,3587.79,3593.56,82.56021495909597,83.55817465441429,-9.602416084622194,-9.505629902027803,15.460208596319278,15.408525123115787
2025-08-05T12:24:00-05:00,3593.59,3603.66,3591.82,3596.81,0,3593.59,3603.66,3591.82,3596.81,81.52886653140206,85.4996617971524,-7.97403838727511,-7.234143257911116,14.935151399009186,18.242608126289685
2025-08-05T12:30:00-05:00,3596.8,3607.67,3596.6,3601.81,0,3596.8,3607.67,3596.6,3601.81,80.3500282431224,85.20596370511822,-6.032988325134733,-4.86969512843086,15.463214153440736,19.693928615825467
2025-08-05T12:36:00-05:00,3601.8,3603.49,3594.64,3600.63,0,3601.8,3603.49,3594.64,3600.63,75.58966960476161,81.15224808651918,-7.363006499299976,-4.898542455312322,8.034323915349377,14.549642303535238
2025-08-05T12:42:00-05:00,3600.63,3602.77,3592.22,3602.76,0,3600.63,3602.77,3592.22,3602.76,71.5608783656813,75.85835900699855,-7.308484722308927,-5.086804043130016,3.3584236058871966,8.264132419864204
