time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-08-14T02:16:00-05:00,4737.94,4742.11,4734.12,4735.68,0,4737.94,4742.11,4734.12,4735.68,34.14185252681331,25.579190893400096,-13.580847942377932,-28.452493102170102,-13.106412191163349,-19.327810139296552
2025-08-14T02:18:00-05:00,4735.6,4741.99,4734.62,4741.33,0,4735.6,4741.99,4734.62,4741.33,45.99671536701646,40.55026907147823,-7.654558543380702,-22.180979356530933,-6.40825316445448,-10.26282442188311
2025-08-14T02:20:00-05:00,4741.32,4742.69,4737.12,4741.47,0,4741.32,4742.69,4737.12,4741.47,50.85992050885045,51.53700934244251,-5.0616420697542495,-15.838991477510431,-3.301314878403296,-3.380275902602846
2025-08-14T02:22:00-05:00,4741.47,4748.08,4737.13,4747,0,4741.47,4748.08,4737.13,4747,58.70067238857072,62.37343705914894,2.7441065181509146,-5.945585653194733,2.346105239805897,4.018148413684605
2025-08-14T02:24:00-05:00,4747,4751.79,4744.19,4744.77,0,4747,4751.79,4744.19,4744.77,54.58277644262603,64.00315200574238,1.742184356970192,-1.1561442516208444,-0.09805020446125708,5.480725968088752
2025-08-14T02:26:00-05:00,4744.76,4747.3,4742.3,4745.54,0,4744.76,4747.3,4742.3,4745.54,54.07114593142626,63.622606885271374,3.282749580843987,2.7212078784886957,-0.25315113028882524,5.608366267330495
2025-08-14T02:28:00-05:00,4745.54,4750.29,4745.53,4746.7,0,4745.54,4750.29,4745.53,4746.7,53.532535343192166,62.120583059654265,6.143704025578817,6.810780892455228,-0.40168310880204255,4.994821227939596
2025-08-14T02:30:00-05:00,4746.69,4751.31,4746.29,4749.36,0,4746.69,4751.31,4746.29,4749.36,58.28161370331029,63.96285741529449,9.977805825527966,11.483850546279523,2.6280912522051474,6.343174105612288
2025-08-14T02:32:00-05:00,4749.35,4749.83,4743.38,4746.64,0,4749.35,4749.83,4743.38,4746.64,52.21348927439156,59.58862528694407,6.876883197853264,11.2094267172607,-2.159144325412426,2.962253989103189
2025-08-14T02:34:00-05:00,4746.64,4754.05,4746.64,4754.05,0,4746.64,4754.05,4746.64,4754.05,61.02397164921251,63.264655271622,20.2579584247051,20.51308733538457,6.992549574269263,7.5936940001214115
2025-08-14T02:36:00-05:00,4754.24,4762.98,4754.24,4755.5,0,4754.24,4762.98,4754.24,4755.5,58.4126991561087,62.52414002682524,25.600520054468852,28.38924391804222,11.671442163076767,12.811519230865603
2025-08-14T02:38:00-05:00,4755.49,4757.98,4749.28,4750.89,0,4755.49,4757.98,4749.28,4750.89,45.26177126983128,52.12456516623499,17.508578645629864,25.70882461232196,4.600672629641555,9.777867609543495
2025-08-14T02:40:00-05:00,4750.53,4752.38,4744.38,4744.65,0,4750.53,4752.38,4744.38,4744.65,34.88000973247982,39.28100619081801,6.1424065927202705,15.54462461921878,-5.526565138247155,0.6032967247597476
2025-08-14T02:42:00-05:00,4744.6,4746.79,4744.6,4745.74,0,4744.6,4746.79,4744.6,4745.74,32.291059913975054,31.157340363961083,4.843029902078619,9.184507293743684,-6.233094158524541,-4.566460363928505
2025-08-14T02:44:00-05:00,4745.73,4751.13,4744.77,4749.6,0,4745.73,4751.13,4744.77,4749.6,41.05700267909877,33.83941794032041,10.295836170616788,9.709996650560399,3.0180124848341983,-0.43532046541579117
2025-08-14T02:46:00-05:00,4749.53,4750.8,4738.81,4739.69,0,4749.53,4750.8,4738.81,4739.69,23.97082710171826,23.0248309410875,-1.3378098894507744,1.2552798102664333,-18.69372688622145,-14.328953581072753
2025-08-14T02:48:00-05:00,4739.67,4741.65,4736.08,4738.66,0,4739.67,4741.65,4736.08,4738.66,20.5831410585848,15.993555443977357,-5.051653714545566,-5.4656928570769745,-29.19127390960122,-28.415463136887826
2025-08-14T02:50:00-05:00,4738.65,4743.55,4736.72,4739.94,0,4738.65,4743.55,4736.72,4739.94,26.431463302311816,17.573125316567147,-6.023949915110325,-9.213910821869717,-32.104067567029944,-36.91536041411652
2025-08-14T02:52:00-05:00,4739.72,4750.42,4738.7,4748.63,0,4739.72,4750.42,4738.7,4748.63,43.36513058886858,31.417792530614122,6.640397106704004,-1.4292354332706072,-13.70902510043225,-26.957810352519573
2025-08-14T02:54:00-05:00,4748.62,4755.63,4748.05,4754.64,0,4748.62,4755.63,4748.05,4754.64,60.268592133883914,51.01419859573275,19.47993827230442,12.0302432517919,10.254426695703046,-4.016858699525894
2025-08-14T02:56:00-05:00,4754.65,4754.76,4750.29,4750.79,0,4754.65,4754.76,4750.29,4750.79,56.34011443208259,57.885731810734086,12.797090648593596,13.866590766726805,2.9084027180235914,2.159179353895805
2025-08-14T02:58:00-05:00,4750.79,4751.49,4746.64,4749.82,0,4750.79,4751.49,4746.64,4749.82,48.604025774511946,55.558620378716085,9.732235394814552,12.63749693578052,-3.9934543026798472,0.40326133967164024
2025-08-14T03:00:00-05:00,4749.99,4751.73,4738.69,4739.89,0,4749.99,4751.73,4738.69,4739.89,29.324242107214793,40.083864728728194,-4.095727902110088,1.8819196170499666,-34.763668869005215,-22.918056136589506
